metric,input_distribution,n,n_obs,min,q05,q25,median,q75,q95,max,mean,std
dot_condition_number_fp64,alternating_sign,1000000,12,366.454289669739,489.47216177793206,938.8362920835855,1560.8114059506788,2215.2694306646417,11806.423509933677,19639.215449655974,3218.487979196525,5335.934725425302
dot_condition_number_fp64,alternating_sign,1919384,12,744.8548487853302,804.1899121671288,1361.9071607630563,3097.1980992676445,6195.076123931276,22496.692039276353,24360.91717913332,6164.8258589704155,7977.334010947371
dot_condition_number_fp64,alternating_sign,3684032,12,1090.777556223513,1241.3059464029,1620.8517593230004,3030.721390386806,5230.279419420361,10604.121241301833,12003.129750638542,4189.5218282489395,3499.5521401475494
dot_condition_number_fp64,alternating_sign,7071068,12,840.2832365324467,933.1248970370632,1780.733264580092,2239.637030963245,3311.6194023147527,16194.328451830945,21583.559528478323,4597.802022012188,6116.34190236436
dot_condition_number_fp64,alternating_sign,13572088,12,2190.0645178809496,2257.13029557188,2574.2635070781585,4107.208956536571,10212.275610177563,21007.529090048552,30241.443687101284,7746.832918045064,8172.228093858173
dot_condition_number_fp64,alternating_sign,26050038,12,1957.6347306695968,2683.5471081425653,6052.680863939442,7517.009070550059,10904.9084267517,107785.51011779993,219100.6220841044,25658.590830716876,61082.25803757142
dot_condition_number_fp64,alternating_sign,50000000,12,3362.2028876844,3921.853544647662,5757.197491218721,10262.925095002794,78520.18709076999,331807.514476545,512172.9168321564,76639.88983846884,147547.3127443982
dot_condition_number_fp64,ill_scaled,1000000,12,21.432694068732108,22.074566558908348,28.726809435319282,74.14571806474524,171.41341797851072,2768.354764403405,4404.899109707801,550.4278557510038,1275.9810175693576
dot_condition_number_fp64,ill_scaled,1919384,12,26.804213049969608,28.744808888371793,74.32106686924092,260.4365270930948,544.8861887764099,2671.2076166176653,5187.84463607524,672.9558285076422,1437.3680583556059
dot_condition_number_fp64,ill_scaled,3684032,12,44.18570729020547,48.200064878873825,59.97781002970474,113.48082538696211,190.0086674866734,2350.547386616484,4189.926413594597,516.573725206715,1178.5868156089089
dot_condition_number_fp64,ill_scaled,7071068,12,75.96345059211197,89.80196230384762,111.90666001044451,144.7779475322477,270.5921122309987,361.7513537277597,387.57795718601886,192.32049283766148,104.72584719533819
dot_condition_number_fp64,ill_scaled,13572088,12,83.44338437346116,131.44054006266066,278.17539885673807,299.52125984777985,472.28781365803985,924.0845066918918,1047.379911702446,413.20782740182443,278.8761982627849
dot_condition_number_fp64,ill_scaled,26050038,12,166.8722461909901,170.27583102036314,177.40721536116158,305.7304030478167,443.8108808191341,2225.5954473374886,4203.018420541081,638.7153101102318,1131.5367302579994
dot_condition_number_fp64,ill_scaled,50000000,12,146.01821859136805,152.58352012520237,224.86964644199065,298.5714633473222,438.45540844527727,1736.449541083261,1913.976713841402,526.2693290199563,585.9482795800681
dot_condition_number_fp64,nearly_canceling,1000000,12,5985309746.322613,7193307610.077036,9459676699.72928,18054499550.135185,102114656706.16455,1863778559913.3584,3418576494092.024,363880034499.38904,976034311072.8585
dot_condition_number_fp64,nearly_canceling,1919384,12,6723246834.904585,8601995373.921415,17453526706.574707,27018641345.379654,70692643116.03075,665495278790.5186,1209999241033.178,148155305993.40775,339838706245.813
dot_condition_number_fp64,nearly_canceling,3684032,12,13317878504.087269,13955338585.333696,17639653145.980152,27592841661.48278,40373507418.396454,117567030449.55988,189523834261.78595,41778570809.94634,48612440427.88001
dot_condition_number_fp64,nearly_canceling,7071068,12,7788299819.725119,10860049013.834528,27791746721.57286,36626509883.02198,76134388584.26456,132865445437.56308,155875274502.54816,54182456881.92469,44940714628.68753
dot_condition_number_fp64,nearly_canceling,13572088,12,16916574785.188349,23883645103.79925,43676200268.857445,70791411173.52808,116939432644.89775,503461463372.28375,703034612617.3369,144757524142.5425,197555366562.31366
dot_condition_number_fp64,nearly_canceling,26050038,12,34613270714.25402,39049362767.1291,53204450308.90022,65463493510.61514,114398416280.2877,232139858356.79144,251149050249.70224,98928900533.42903,71000376227.24098
dot_condition_number_fp64,nearly_canceling,50000000,12,29766234927.26412,40359424280.32127,52639181830.950516,84948373772.6426,145368253712.4984,372456252953.6201,492051604350.47394,131962076807.84084,131845719511.59798
dot_condition_number_fp64,normal,1000000,12,237.4928503750036,257.27770632953894,421.9142940728539,1132.4096014685178,2078.5073857110133,11122.645377067554,16473.67752112372,2796.612438729742,4671.549117386142
dot_condition_number_fp64,normal,1919384,12,420.88755882203856,573.9204529329455,1051.886047973966,1509.720754390752,1691.8885935849328,4156.039343197811,5349.517806118552,1757.983076914368,1327.358192364553
dot_condition_number_fp64,normal,3684032,12,487.8749948878544,835.0789066133597,1652.8133146431226,2730.361450529256,4246.21729146007,80498.57449554933,168594.569273688,16820.8439289341,47844.41714922056
dot_condition_number_fp64,normal,7071068,12,1169.355417163452,1197.9583271487113,1552.809621609998,2177.874539346042,3601.599461020132,26782.95763029332,39911.08567901131,6487.149385724954,11294.269703606606
dot_condition_number_fp64,normal,13572088,12,2140.287852157397,2237.150110699001,2771.279328421104,3378.4056371550405,3956.35033484835,8142.934523344618,11157.742075834873,4027.9022019663134,2438.6611147272083
dot_condition_number_fp64,normal,26050038,12,1779.48001660713,2529.7969395264086,5091.820876161315,8154.350772291012,15361.676563544204,40999.99534970486,53740.466497728106,14020.606028853088,14812.291663535003
dot_condition_number_fp64,normal,50000000,12,2851.7653536132843,3471.498192146689,4643.94633968902,5883.841077289233,11242.58356954084,15464.0645533936,15625.2192627348,7886.1127533028875,4645.143760048952
dot_condition_number_fp64,positive_uniform,1000000,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dot_condition_number_fp64,positive_uniform,1919384,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dot_condition_number_fp64,positive_uniform,3684032,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dot_condition_number_fp64,positive_uniform,7071068,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dot_condition_number_fp64,positive_uniform,13572088,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dot_condition_number_fp64,positive_uniform,26050038,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dot_condition_number_fp64,positive_uniform,50000000,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
