experiment,input_distribution,method,precision,threads,n,trial,seed_x,seed_y,result,reference_fp64,reference_same_precision,abs_reference_fp64,abs_reference_same_precision,sum_abs_products,dot_condition_number_fp64,dot_condition_number_same_precision,abs_error_vs_serial_fp64,scaled_error_vs_sum_abs_products,scaled_parallel_error_vs_sum_abs_products,error_vs_serial_fp64,mixed_error_vs_fp64,parallel_error_vs_serial_same_precision
error,normal,serial,fp64,,1000000,0,100123,100456,-577.41647011959049,-577.41647011959049,-577.41647011959049,577.41647011959049,577.41647011959049,636868.83851515735,1102.9627166389166,1102.9627166389166,0,0,0,0,,0
error,normal,serial,mixed_fp32_fp64,,1000000,0,100123,100456,-577.41639049189621,-577.41647011959049,-577.41639049189621,577.41647011959049,577.41639049189621,636868.83851515735,1102.9627166389166,1102.962868741246,7.9627694276496186e-05,1.2502997393018322e-10,0,1.3790339970732781e-07,1.3790339970732781e-07,0
error,normal,openmp,fp64,1,1000000,0,100123,100456,-577.41647011959049,-577.41647011959049,-577.41647011959049,577.41647011959049,577.41647011959049,636868.83851515735,1102.9627166389166,1102.9627166389166,0,0,0,0,,0
error,normal,openmp,mixed_fp32_fp64,1,1000000,0,100123,100456,-577.41639049189621,-577.41647011959049,-577.41639049189621,577.41647011959049,577.41639049189621,636868.83851515735,1102.9627166389166,1102.962868741246,7.9627694276496186e-05,1.2502997393018322e-10,0,1.3790339970732781e-07,1.3790339970732781e-07,0
error,normal,openmp,fp64,2,1000000,0,100123,100456,-577.41647011957252,-577.41647011959049,-577.41647011959049,577.41647011959049,577.41647011959049,636868.83851515735,1102.9627166389166,1102.9627166389166,1.7962520360015333e-11,2.8204426521942053e-17,2.8204426521942053e-17,3.1108430897883916e-14,,3.1108430897883916e-14
error,normal,openmp,mixed_fp32_fp64,2,1000000,0,100123,100456,-577.41639049189621,-577.41647011959049,-577.41639049189621,577.41647011959049,577.41639049189621,636868.83851515735,1102.9627166389166,1102.962868741246,7.9627694276496186e-05,1.2502997393018322e-10,0,1.3790339970732781e-07,1.3790339970732781e-07,0
error,normal,openmp,fp64,4,1000000,0,100123,100456,-577.41647011957764,-577.41647011959049,-577.41647011959049,577.41647011959049,577.41647011959049,636868.83851515735,1102.9627166389166,1102.9627166389166,1.2846612662542611e-11,2.0171520234047164e-17,2.0171520234047164e-17,2.2248434756081533e-14,,2.2248434756081533e-14
error,normal,openmp,mixed_fp32_fp64,4,1000000,0,100123,100456,-577.41639049189621,-577.41647011959049,-577.41639049189621,577.41647011959049,577.41639049189621,636868.83851515735,1102.9627166389166,1102.962868741246,7.9627694276496186e-05,1.2502997393018322e-10,0,1.3790339970732781e-07,1.3790339970732781e-07,0
error,normal,openmp,fp64,8,1000000,0,100123,100456,-577.41647011958332,-577.41647011959049,-577.41647011959049,577.41647011959049,577.41647011959049,636868.83851515735,1102.9627166389166,1102.9627166389166,7.1622707764618099e-12,1.1246068803052843e-17,1.1246068803052843e-17,1.2403994598523333e-14,,1.2403994598523333e-14
error,normal,openmp,mixed_fp32_fp64,8,1000000,0,100123,100456,-577.4163904918961,-577.41647011959049,-577.41639049189621,577.41647011959049,577.41639049189621,636868.83851515735,1102.9627166389166,1102.962868741246,7.9627694390183024e-05,1.2502997410869223e-10,1.7850902861988639e-19,1.379033999042166e-07,1.379033999042166e-07,1.9688883030280307e-16
error,normal,openmp,fp64,16,1000000,0,100123,100456,-577.41647011958037,-577.41647011959049,-577.41647011959049,577.41647011959049,577.41647011959049,636868.83851515735,1102.9627166389166,1102.9627166389166,1.0118128557223827e-11,1.5887303547169889e-17,1.5887303547169889e-17,1.7523103480453599e-14,,1.7523103480453599e-14
error,normal,openmp,mixed_fp32_fp64,16,1000000,0,100123,100456,-577.41639049189598,-577.41647011959049,-577.41639049189621,577.41647011959049,577.41639049189621,636868.83851515735,1102.9627166389166,1102.962868741246,7.9627694503869861e-05,1.2502997428720127e-10,3.5701805723977278e-19,1.3790340010110541e-07,1.3790340010110541e-07,3.9377766060560614e-16
error,normal,openmp,fp64,22,1000000,0,100123,100456,-577.41647011957366,-577.41647011959049,-577.41647011959049,577.41647011959049,577.41647011959049,636868.83851515735,1102.9627166389166,1102.9627166389166,1.6825651982799172e-11,2.6419336235743187e-17,2.6419336235743187e-17,2.9139542866372273e-14,,2.9139542866372273e-14
error,normal,openmp,mixed_fp32_fp64,22,1000000,0,100123,100456,-577.41639049189621,-577.41647011959049,-577.41639049189621,577.41647011959049,577.41639049189621,636868.83851515735,1102.9627166389166,1102.962868741246,7.9627694276496186e-05,1.2502997393018322e-10,0,1.3790339970732781e-07,1.3790339970732781e-07,0
error,normal,serial,fp64,,1000000,1,100124,100457,-1503.6762102210976,-1503.6762102210976,-1503.6762102210976,1503.6762102210976,1503.6762102210976,636567.84440616099,423.34103584212545,423.34103584212545,0,0,0,0,,0
error,normal,serial,mixed_fp32_fp64,,1000000,1,100124,100457,-1503.6762203062735,-1503.6762102210976,-1503.6762203062735,1503.6762102210976,1503.6762203062735,636567.84440616099,423.34103584212545,423.34103300277161,1.0085175972562865e-05,1.584304966263429e-11,0,6.7070130550778353e-09,6.7070130550778353e-09,0
error,normal,openmp,fp64,1,1000000,1,100124,100457,-1503.6762102210976,-1503.6762102210976,-1503.6762102210976,1503.6762102210976,1503.6762102210976,636567.84440616099,423.34103584212545,423.34103584212545,0,0,0,0,,0
error,normal,openmp,mixed_fp32_fp64,1,1000000,1,100124,100457,-1503.6762203062735,-1503.6762102210976,-1503.6762203062735,1503.6762102210976,1503.6762203062735,636567.84440616099,423.34103584212545,423.34103300277161,1.0085175972562865e-05,1.584304966263429e-11,0,6.7070130550778353e-09,6.7070130550778353e-09,0
error,normal,openmp,fp64,2,1000000,1,100124,100457,-1503.6762102211235,-1503.6762102210976,-1503.6762102210976,1503.6762102210976,1503.6762102210976,636567.84440616099,423.34103584212545,423.34103584212545,2.5920599000528455e-11,4.0719303100691752e-17,4.0719303100691752e-17,1.7238151953416314e-14,,1.7238151953416314e-14
