experiment,input_distribution,method,precision,threads,n,trial,repeat,seed_x,seed_y,runtime,result
runtime,normal,serial,fp64,,1000000,0,0,123,456,0.00086037400000000001,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,0,123,456,0.00099608599999999998,1792.5140299904108
runtime,normal,serial,fp64,,1000000,0,1,123,456,0.00079830299999999999,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,1,123,456,0.00087035599999999997,1792.5140299904108
runtime,normal,serial,fp64,,1000000,0,2,123,456,0.00070186599999999999,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,2,123,456,0.00085208099999999998,1792.5140299904108
runtime,normal,serial,fp64,,1000000,0,3,123,456,0.00069119199999999998,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,3,123,456,0.00088068700000000001,1792.5140299904108
runtime,normal,serial,fp64,,1000000,0,4,123,456,0.000674419,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,4,123,456,0.001005445,1792.5140299904108
runtime,normal,serial,fp64,,1000000,0,5,123,456,0.00072329200000000005,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,5,123,456,0.00087349200000000002,1792.5140299904108
runtime,normal,serial,fp64,,1000000,0,6,123,456,0.00073626799999999999,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,6,123,456,0.00093984199999999998,1792.5140299904108
runtime,normal,serial,fp64,,1000000,0,7,123,456,0.00067920299999999997,1792.5139923576967
runtime,normal,serial,mixed_fp32_fp64,,1000000,0,7,123,456,0.00092051700000000004,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,0,123,456,0.00069933500000000004,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,0,123,456,0.00084696700000000001,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,1,123,456,0.00067189099999999998,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,1,123,456,0.00081014100000000001,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,2,123,456,0.00063524499999999999,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,2,123,456,0.00085231200000000003,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,3,123,456,0.00064696999999999997,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,3,123,456,0.00084585599999999997,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,4,123,456,0.00063115399999999998,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,4,123,456,0.00078138999999999997,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,5,123,456,0.00063941099999999999,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,5,123,456,0.00086826099999999995,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,6,123,456,0.00063397900000000001,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,6,123,456,0.00081455700000000004,1792.5140299904108
runtime,normal,openmp,fp64,1,1000000,0,7,123,456,0.00062293600000000004,1792.5139923576967
runtime,normal,openmp,mixed_fp32_fp64,1,1000000,0,7,123,456,0.00085469300000000001,1792.5140299904108
runtime,normal,openmp,fp64,2,1000000,0,0,123,456,0.00056142200000000001,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,0,123,456,0.00044290699999999998,1792.5140299904106
runtime,normal,openmp,fp64,2,1000000,0,1,123,456,0.00032760100000000001,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,1,123,456,0.00042619000000000001,1792.5140299904106
runtime,normal,openmp,fp64,2,1000000,0,2,123,456,0.00032295199999999999,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,2,123,456,0.00039736799999999999,1792.5140299904106
runtime,normal,openmp,fp64,2,1000000,0,3,123,456,0.00031909000000000001,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,3,123,456,0.00039642099999999999,1792.5140299904106
runtime,normal,openmp,fp64,2,1000000,0,4,123,456,0.00036118800000000003,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,4,123,456,0.00045356900000000002,1792.5140299904106
runtime,normal,openmp,fp64,2,1000000,0,5,123,456,0.000322143,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,5,123,456,0.001777112,1792.5140299904106
runtime,normal,openmp,fp64,2,1000000,0,6,123,456,0.00046776000000000001,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,6,123,456,0.00046941700000000002,1792.5140299904106
runtime,normal,openmp,fp64,2,1000000,0,7,123,456,0.00032535700000000002,1792.5139923577144
runtime,normal,openmp,mixed_fp32_fp64,2,1000000,0,7,123,456,0.00040513600000000001,1792.5140299904106
runtime,normal,openmp,fp64,4,1000000,0,0,123,456,0.017944655,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,0,123,456,0.016581004999999999,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,1,123,456,0.0017529970000000001,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,1,123,456,0.004676642,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,2,123,456,0.0025472609999999999,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,2,123,456,0.0058855519999999996,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,3,123,456,0.007665402,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,3,123,456,0.00183007,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,4,123,456,0.0080267910000000001,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,4,123,456,0.0033296509999999999,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,5,123,456,0.0042869249999999996,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,5,123,456,0.0093781769999999997,1792.5140299904101
runtime,normal,openmp,fp64,4,1000000,0,6,123,456,0.0050283940000000003,1792.5139923577112
runtime,normal,openmp,mixed_fp32_fp64,4,1000000,0,6,123,456,0.0023467230000000002,1792.5140299904101
