metric,input_distribution,n,n_obs,min,q05,q25,median,q75,q95,max,mean,std
mixed_error_vs_fp64,alternating_sign,1000000,12,1.3507717454465762e-08,1.4324687462222118e-08,2.4549140856408092e-08,6.365086378482752e-08,1.6365871851487303e-07,1.381889247041392e-06,2.5691262100720635e-06,3.0852169484065046e-07,7.219957158195792e-07
mixed_error_vs_fp64,alternating_sign,1919384,12,9.311836570392691e-09,2.743470593046359e-08,6.591699990789204e-08,1.8265530167087876e-07,2.9953393076255094e-07,5.244047418910345e-07,7.635877015058749e-07,2.1846180693636371e-07,2.0722013333799082e-07
mixed_error_vs_fp64,alternating_sign,3684032,12,8.528515517134553e-09,1.629165714042313e-08,3.8093858459900534e-08,9.333614738683276e-08,2.2878661875621152e-07,3.2382818756066254e-07,3.5537059645544467e-07,1.414568737792232e-07,1.2240239400368506e-07
mixed_error_vs_fp64,alternating_sign,7071068,12,1.4469252804177778e-08,1.5625385511902955e-08,2.4451290634834225e-08,3.6026500066978424e-08,8.653625867076516e-08,4.5029806274854505e-07,7.978344843553853e-07,1.1818620612309605e-07,2.204256863900336e-07
mixed_error_vs_fp64,alternating_sign,13572088,12,8.032557399090162e-10,2.2027797385722087e-09,1.526224508092749e-08,4.555826648543456e-08,1.8211372264723366e-07,4.81877728151878e-07,7.987834733896351e-07,1.4153743851475588e-07,2.2325336608404322e-07
mixed_error_vs_fp64,alternating_sign,26050038,12,1.3213589783168064e-08,1.3336249589644578e-08,3.849257594267884e-08,8.470357838337666e-08,1.611207928140944e-07,1.8986479498971863e-06,3.5742580226798856e-06,4.101657642430351e-07,1.0071768926059973e-06
mixed_error_vs_fp64,alternating_sign,50000000,12,6.649371097542735e-09,8.998948387665425e-09,3.8355549371099317e-08,1.0186370303549719e-07,3.141924976185778e-07,4.039197402886081e-06,7.884564805067773e-06,8.436354025541659e-07,2.2331522987982104e-06
mixed_error_vs_fp64,ill_scaled,1000000,12,7.701978231654922e-10,2.695484308239594e-09,1.95696580432358e-08,4.373112809267481e-08,1.1527835615074799e-07,3.850207431680991e-06,6.388660434394934e-06,7.194951546768153e-07,1.8534081849773807e-06
mixed_error_vs_fp64,ill_scaled,1919384,12,1.567295678332292e-09,1.1428397840764208e-08,3.4184725865736804e-08,1.5001371516993088e-07,5.234562119187434e-07,1.0174948979349493e-06,1.4025027425849543e-06,3.228279661937884e-07,4.123787586452836e-07
mixed_error_vs_fp64,ill_scaled,3684032,12,6.220640663433992e-09,1.7422367356898375e-08,3.0727709428957e-08,4.8254492750281735e-08,7.420675062819795e-08,1.7066538612269565e-06,3.608968441186684e-06,3.497105033784622e-07,1.0270563408713558e-06
mixed_error_vs_fp64,ill_scaled,7071068,12,1.786447342334547e-08,2.377672840707333e-08,4.530717426123849e-08,6.711914255123154e-08,1.040551337982056e-07,1.3937952330044448e-07,1.5054813485180274e-07,7.57954104062487e-08,4.1853070985140505e-08
mixed_error_vs_fp64,ill_scaled,13572088,12,1.1010612407232866e-08,1.828895502952029e-08,3.6093741101611726e-08,5.968008818207052e-08,1.746285561474873e-07,3.6569051320107164e-07,4.4752673581432466e-07,1.294688928278556e-07,1.3550191487412897e-07
mixed_error_vs_fp64,ill_scaled,26050038,12,1.4495405773182929e-08,1.579325283131772e-08,3.900274384653801e-08,6.767853766883145e-08,1.0577269225628222e-07,2.4019449920808163e-07,3.5637254263621933e-07,9.22884307172396e-08,9.218235957424168e-08
mixed_error_vs_fp64,ill_scaled,50000000,12,2.848114369921072e-09,5.719043563767701e-09,2.695333958666583e-08,5.643374577584859e-08,7.406239338411989e-08,2.20206997036728e-07,2.325185451881607e-07,7.232768163282094e-08,7.443180749412715e-08
mixed_error_vs_fp64,nearly_canceling,1000000,12,0.0308640398667278,0.06744640513030914,0.3612555547052374,0.6099286108396991,7.158356102899212,91.73628882893074,188.75035646703736,18.26854650761945,53.840813730930506
mixed_error_vs_fp64,nearly_canceling,1919384,12,0.0039903984816331,0.07462738443761455,0.2454461432241133,0.7801411868181924,3.5660431355092186,45.79240827203303,91.22122047027229,9.30914560808071,25.918342796664824
mixed_error_vs_fp64,nearly_canceling,3684032,12,0.0519928353449061,0.07539588720410438,0.2581076566054033,0.6358921574246958,1.2519413824073038,3.752058791714724,5.850311716015453,1.1709395005268355,1.5932478933439973
mixed_error_vs_fp64,nearly_canceling,7071068,12,0.0531785073876981,0.0883733040246282,0.21782516295886092,0.48714524548522886,0.8840240313398867,2.0588230973916266,2.246161587253832,0.7181659765845726,0.7082787946481666
mixed_error_vs_fp64,nearly_canceling,13572088,12,0.1031869091688996,0.13749920042904012,0.4735350790935208,0.7201135349228737,1.040044938460481,4.8857467381975725,8.855223174419313,1.407826406850819,2.386398514944761
mixed_error_vs_fp64,nearly_canceling,26050038,12,0.0060630220588306,0.02681781536633743,0.2074682951221249,0.5257982047426767,1.0719356225587073,2.349568893153011,2.8959009532101256,0.8225111320175725,0.8742510568046844
mixed_error_vs_fp64,nearly_canceling,50000000,12,0.0573733750628188,0.08634327758703343,0.340758293207759,0.5353749899537955,1.2740311448836619,1.7190852626597086,2.0447724805363503,0.7678669322225935,0.6294751983142751
mixed_error_vs_fp64,normal,1000000,12,2.7202364496983113e-09,4.912963582657049e-09,8.785397221449642e-09,4.004500688594914e-08,1.631308901409959e-07,9.917229162544695e-07,1.7254485122761715e-06,2.291336985475314e-07,4.860062940057032e-07
mixed_error_vs_fp64,normal,1919384,12,2.3643286475658724e-09,4.7081132802046874e-09,3.707944556745568e-08,5.497071374143297e-08,1.0596191932681644e-07,2.7337089102353764e-07,3.896972553968057e-07,9.393177065495781e-08,1.0764966738160491e-07
mixed_error_vs_fp64,normal,3684032,12,7.047718720890444e-09,1.3252852352283036e-08,1.9256096672860995e-08,8.134758531404108e-08,1.0327463216944814e-07,8.831938213922794e-07,1.2656265636262554e-06,2.005786605138392e-07,3.6816998922991127e-07
mixed_error_vs_fp64,normal,7071068,12,4.512564685032682e-09,5.787259347026169e-09,1.4238982990359665e-08,4.506575014999492e-08,1.0276107537886537e-07,5.192314897193531e-07,5.632970591752181e-07,1.2366848306365852e-07,1.910141282490719e-07
mixed_error_vs_fp64,normal,13572088,12,2.4132325549729308e-09,3.459468226943471e-09,1.2691665269111848e-08,5.790163001572132e-08,9.065753060973826e-08,1.3507901446942776e-07,1.408992284302605e-07,5.847560001281072e-08,5.047489207897723e-08
mixed_error_vs_fp64,normal,26050038,12,6.458582864182723e-09,9.731543033211736e-09,2.7462244577448568e-08,7.199871050949454e-08,1.8112672903705708e-07,3.023597386987036e-07,3.2208351697821117e-07,1.1758828071712076e-07,1.1789988615127901e-07
mixed_error_vs_fp64,normal,50000000,12,6.2970182390528396e-09,9.519518433080725e-09,1.8618757810201273e-08,5.2114197082287596e-08,6.901474429081267e-08,1.3564205877875687e-07,1.7312917633776658e-07,5.694197162569978e-08,4.918031043258058e-08
mixed_error_vs_fp64,positive_uniform,1000000,12,4.305984701479324e-12,5.5225617295318564e-12,2.0969418067190088e-11,3.640669243086341e-11,6.757011593343456e-11,1.0786994165415618e-10,1.1970945779446416e-10,4.65465882724013e-11,3.677934535237853e-11
mixed_error_vs_fp64,positive_uniform,1919384,12,4.511706663194349e-12,5.530221688610583e-12,1.4496550351274009e-11,2.7044341508791586e-11,4.681474909805568e-11,6.290282469892277e-11,6.381498299537129e-11,3.0698839600308904e-11,2.071114068251358e-11
mixed_error_vs_fp64,positive_uniform,3684032,12,6.856320381524281e-12,9.606614908077875e-12,1.347044935739263e-11,1.726749449465014e-11,3.118961262408136e-11,5.484256152721008e-11,6.277697191117957e-11,2.4631996910931178e-11,1.6986543410756685e-11
mixed_error_vs_fp64,positive_uniform,7071068,12,8.995241421776083e-13,1.040798016036316e-12,3.559650796510084e-12,9.2831037772994e-12,1.4517132900246131e-11,3.365802436402805e-11,4.1925537978728734e-11,1.1857680091884035e-11,1.2141064282687076e-11
mixed_error_vs_fp64,positive_uniform,13572088,12,4.1752619597334533e-13,6.217352965591581e-13,1.6085110802166476e-12,4.211071281071268e-12,1.7178615333430648e-11,2.208843808115797e-11,2.2214442239457816e-11,8.444740325831406e-12,8.614041638473164e-12
mixed_error_vs_fp64,positive_uniform,26050038,12,1.5973452680899666e-12,1.7290230285152199e-12,2.9503205785972706e-12,5.277805013532114e-12,8.998674248138256e-12,9.70660218356655e-12,1.0008384145290412e-11,5.664733661345422e-12,3.1403508465131176e-12
mixed_error_vs_fp64,positive_uniform,50000000,12,2.701572045280174e-13,5.658827191880028e-13,1.4168059082314101e-12,4.203852695776544e-12,8.474675409727e-12,1.1392309766280935e-11,1.1439889498287732e-11,5.1715690461417116e-12,4.1737826221804025e-12
