metric,input_distribution,precision,threads,n,n_obs,min,q05,q25,median,q75,q95,max,mean,std
parallel_error_vs_serial_same_precision,alternating_sign,fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,fp64,2.0,1000000,12,6.276838565562769e-16,3.376606121514258e-15,9.786352337441797e-15,2.9269421787017073e-14,4.412046390148747e-14,8.408077537473044e-14,8.467238998215356e-14,3.4347707318442375e-14,2.8237826739080366e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,2.0,1919384,12,5.078466281944556e-16,6.6314616012344415e-15,2.4143765089791666e-14,3.547711853572035e-14,6.527611788317422e-14,7.059231867622916e-13,9.44068849160892e-13,1.5007954894272037e-13,2.858308369666445e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,2.0,3684032,12,2.112700993695243e-15,4.569125410699714e-15,1.2519715949370378e-14,2.458998236510736e-14,4.352112000196865e-14,1.0801984905153622e-13,1.4461733994860786e-13,3.8325497014640604e-14,4.1614953094100046e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,2.0,7071068,12,8.2838907382225e-15,8.346018557888897e-15,2.8201698934726218e-14,4.702425703451313e-14,7.630571202484295e-14,2.8814630017285523e-13,4.994542358199221e-13,8.680361266303866e-14,1.340900268752905e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,2.0,13572088,12,6.8952376023013e-16,2.1771904077367665e-15,6.647792926955446e-14,1.207291108059518e-13,1.422665960479779e-13,4.806517507143583e-13,6.972013011205827e-13,1.5895915346932994e-13,1.875881197179529e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,2.0,26050038,12,1.1784960423872405e-15,1.8834307918720566e-14,9.457348573180208e-14,1.761666174143278e-13,3.652243863287857e-13,1.9248579328772223e-12,3.5976084430536853e-12,4.863326885829113e-13,9.938259017638022e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,2.0,50000000,12,7.132294906708567e-15,7.970451859869127e-15,5.5715724997203944e-14,3.534381283264115e-13,5.116148582779159e-13,3.334055997819316e-12,5.2923705172739524e-12,7.952768243425146e-13,1.493495460446919e-12
parallel_error_vs_serial_same_precision,alternating_sign,fp64,4.0,1000000,12,1.1403986885574529e-15,2.3689353929571073e-15,1.0487763860918163e-14,2.281153362862806e-14,4.9234722140320575e-14,1.4770587978996395e-13,2.161227720568834e-13,4.372867940909211e-14,6.066412291158684e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,4.0,1919384,12,1.566084761679229e-14,1.9443657488457537e-14,3.371306301563251e-14,5.77544003844614e-14,1.2710835227329304e-13,4.3666754545270897e-13,7.503265470828691e-13,1.310540126396757e-13,2.0227241818581114e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,4.0,3684032,12,9.850072328753693e-16,6.296563489927064e-15,2.724828209101222e-14,4.780292583486686e-14,9.169861908959178e-14,2.9030895277798017e-13,3.297073281988372e-13,9.121584689804086e-14,1.0665058640963674e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,4.0,7071068,12,4.721706250889542e-16,7.541919238804286e-15,2.5705367430738435e-14,7.660036776616843e-14,9.800446444794689e-14,2.3920456351009e-13,2.777167130724901e-13,8.775063098842516e-14,8.1450831897547e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,4.0,13572088,12,1.3272137561368768e-14,2.0080118036924407e-14,6.448691194559474e-14,8.903309687785499e-14,1.2814711001642516e-13,5.883267404244869e-13,8.084271936224109e-13,1.6842526948835093e-13,2.2539361963061967e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,4.0,26050038,12,2.7105408974906528e-14,3.1775543347226195e-14,4.9699407448752846e-14,1.339445977139735e-13,4.947790436222078e-13,3.29482099133393e-12,5.93756521569999e-12,7.441723676795184e-13,1.671449312992433e-12
parallel_error_vs_serial_same_precision,alternating_sign,fp64,4.0,50000000,12,3.886464613755325e-15,1.0076176199724196e-14,1.2430237795025292e-13,3.4518440756981955e-13,5.508197949763225e-13,3.866226575293748e-12,4.270354673786456e-12,8.922507520152046e-13,1.4308784123312614e-12
parallel_error_vs_serial_same_precision,alternating_sign,fp64,8.0,1000000,12,1.5943169956529435e-14,1.658387319646093e-14,1.8475496703609446e-14,3.419031401979589e-14,6.084836171094975e-14,2.3092290416483146e-13,3.679572474511609e-13,6.714602108104268e-14,9.918047648712031e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,8.0,1919384,12,1.0728710100759178e-14,1.3974963286122968e-14,2.4606859910701103e-14,6.757581988390293e-14,1.1530497305172659e-13,3.049655194480236e-13,4.784075266224862e-13,1.0463931412086587e-13,1.2720674189038482e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,8.0,3684032,12,1.1574709818589696e-14,1.2260725675048211e-14,2.5428365126589995e-14,4.623929779261964e-14,6.904989769580786e-14,2.094076862392323e-13,3.3629575950802413e-13,7.019747689037826e-14,8.833026290819216e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,8.0,7071068,12,1.0352281327820412e-15,3.7769491681882114e-15,4.5884487651470204e-14,6.182486009619676e-14,7.471410159367781e-14,4.666099481949321e-13,4.930527225710711e-13,1.1914038041950345e-13,1.6547225749960247e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,8.0,13572088,12,3.539236683031671e-14,4.6813325446036173e-14,7.331971290615748e-14,9.57872094149032e-14,1.3805611936689925e-13,3.4535335930111275e-13,3.9245417777190076e-13,1.3472559460735875e-13,1.086816263086619e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,8.0,26050038,12,1.1448247268904622e-14,1.8935242056027417e-14,5.3459267705565644e-14,1.4465472145834457e-13,6.69164137120579e-13,2.232275648010404e-12,3.40536552463345e-12,5.612397931112541e-13,9.745987458086294e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,8.0,50000000,12,4.226323959418153e-15,8.026860442850175e-15,6.793354622794629e-14,2.017865276242749e-13,4.415767131739324e-13,3.2222947660752716e-12,3.2774182838373168e-12,7.018184026937098e-13,1.1936247996234966e-12
parallel_error_vs_serial_same_precision,alternating_sign,fp64,16.0,1000000,12,6.266189033865271e-15,9.517171814694847e-15,1.7988919450315413e-14,2.7845212660669317e-14,5.031582859235834e-14,2.6778391177486566e-13,4.623052596181252e-13,7.064827590516983e-14,1.2645647913634418e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,16.0,1919384,12,1.0498637933434988e-14,1.3532267429106988e-14,2.7639043569310835e-14,6.536582591229526e-14,1.264310583506252e-13,2.6144697156311073e-13,2.9996066944535996e-13,9.56827233739194e-14,9.20836952320684e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,16.0,3684032,12,4.763197793671097e-15,7.560978787966525e-15,2.8143478006106622e-14,5.691939848424798e-14,9.697220533852232e-14,1.9637128659524865e-13,2.681060875628173e-13,7.514403125191435e-14,7.322360222716057e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,16.0,7071068,12,7.200602032606552e-15,7.605482874570555e-15,3.7317397175844524e-14,5.400624917926429e-14,8.005677073977252e-14,4.355577141947671e-13,4.940061394379213e-13,1.1251376687985283e-13,1.569402943255055e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,16.0,13572088,12,2.75809504092052e-15,2.2749046680697488e-14,5.0926144898727075e-14,8.002867626957419e-14,1.305162302084572e-13,6.8975644465667e-13,1.128773681865601e-12,1.8586624282672964e-13,3.08787134955147e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,16.0,26050038,12,5.6804854144326246e-15,1.8733435517711646e-14,8.127584150249876e-14,1.1148297795844326e-13,5.050157253681073e-13,1.1072466862219483e-12,1.4792876266724854e-12,3.4670476607376053e-13,4.532141428578003e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,16.0,50000000,12,1.996229551610689e-14,2.7770999302288297e-14,9.983800512550458e-14,4.032848161755942e-13,6.999277993163683e-13,8.376272155696605e-12,1.4079967890569967e-11,1.7682785219743355e-12,4.008429115280689e-12
parallel_error_vs_serial_same_precision,alternating_sign,fp64,22.0,1000000,12,3.766103139337662e-15,8.674569516148496e-15,1.5312169689131047e-14,4.2060712852746746e-14,7.748693104965025e-14,2.0164907787627973e-13,3.297792146208079e-13,6.609804781705021e-14,8.892452003509946e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,22.0,1919384,12,4.296338726730629e-15,5.583645400762692e-15,3.367495757464896e-14,4.966593074375556e-14,1.153293401255292e-13,3.8583311324924107e-13,5.599832327606011e-13,1.1116109739466965e-13,1.570195171332882e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,22.0,3684032,12,4.724315325692414e-15,9.439620600661202e-15,3.0499194152608136e-14,5.4404220810191563e-14,9.398062555789671e-14,2.58768106242803e-13,2.898261498139935e-13,8.440378540919733e-14,8.945694883127854e-14
parallel_error_vs_serial_same_precision,alternating_sign,fp64,22.0,7071068,12,1.2997864333818962e-14,1.4165119209383838e-14,2.5052925618363983e-14,5.564885724235544e-14,8.585762409514198e-14,2.7100638598858906e-13,4.495837794045264e-13,8.745676593074044e-14,1.192141150563102e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,22.0,13572088,12,4.040609234948562e-14,4.1242035259945984e-14,8.200177283862547e-14,1.095501162796131e-13,2.354799737126864e-13,5.845573748482555e-13,8.969701670809323e-13,2.027537044987081e-13,2.371803183660665e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,22.0,26050038,12,4.4552826779863714e-15,1.4042260090028144e-14,6.55836106965224e-14,1.0952404466090967e-13,7.264811193250205e-13,1.385941494593008e-12,1.460407873428723e-12,4.191072545735869e-13,5.346387009006504e-13
parallel_error_vs_serial_same_precision,alternating_sign,fp64,22.0,50000000,12,2.502559616388971e-15,2.2307383972341558e-14,1.0641542575765294e-13,2.8903895999127304e-13,6.850826010936484e-13,6.022797671410627e-12,1.0973774842709206e-11,1.3314727571505438e-12,3.089581115495622e-12
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,2.0,1000000,12,0.0,0.0,0.0,5.981847717567634e-17,1.8564446263896542e-16,5.330345828283989e-16,8.776536723314988e-16,1.4666220528425915e-16,2.483708370030971e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,2.0,1919384,12,0.0,0.0,1.616095234487785e-16,3.962857532137677e-16,6.110832889497111e-16,2.223788117492343e-15,3.901346148528854e-15,6.578670193926148e-16,1.0567593234930873e-15
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,2.0,3684032,12,0.0,0.0,0.0,2.307342676179905e-16,4.647657045657883e-16,1.4734117193265712e-15,1.5177228864625633e-15,3.996592987545351e-16,5.317541548678898e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,2.0,7071068,12,0.0,0.0,1.5930914440951338e-16,2.4733631455714884e-16,4.963714731384249e-16,9.750655184513212e-16,1.1893752751666761e-15,3.620039475722011e-16,3.478446570746902e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,2.0,13572088,12,0.0,9.400208325168027e-17,3.103268425161423e-16,5.282462264046834e-16,1.3533459733456697e-15,2.312532697263874e-15,2.32153882476094e-15,9.13845832941214e-16,8.224395621670603e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,2.0,26050038,12,1.6712002413946427e-16,4.455884639982874e-16,9.136706463486729e-16,1.0757717149801576e-15,1.5421688876725288e-15,6.3446232978599485e-15,1.1827402902055252e-14,2.000981596529769e-15,3.1284247013578142e-15
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,2.0,50000000,12,1.7665748811992815e-16,4.2691498983482767e-16,9.24641232055237e-16,2.2087054448779695e-15,8.059500170906531e-15,2.281552046671844e-14,4.0244822294238223e-14,6.704538559356088e-15,1.1082408262786505e-14
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,4.0,1000000,12,0.0,0.0,0.0,0.0,1.966400910533912e-16,6.600520413054013e-16,8.776536723314988e-16,1.6643040227426348e-16,2.7598882343655804e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,4.0,1919384,12,0.0,0.0,1.2812259440207284e-16,3.179775607189074e-16,5.834410926820642e-16,9.255502814359976e-16,1.1349875167378444e-15,3.901469839707679e-16,3.4675899088864937e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,4.0,3684032,12,0.0,0.0,9.92332957486682e-17,2.06831984224235e-16,3.6709218380944325e-16,1.6619596551129713e-15,1.916209504044649e-15,4.322870606577691e-16,6.157123272319476e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,4.0,7071068,12,0.0,0.0,0.0,2.9510993798797416e-16,1.0832712499625123e-15,2.1191954644500873e-15,2.3787505503333523e-15,6.530678436792581e-16,8.175769900973984e-16
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,4.0,13572088,12,1.2122758595659723e-16,1.2145450918486607e-16,2.47086205974822e-16,4.464053198339642e-16,1.2050622393349724e-15,2.9891548625825566e-15,3.543401364108804e-15,9.245083419611301e-16,1.0787722305043753e-15
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,4.0,26050038,12,0.0,1.2252027529088207e-16,3.651974557725089e-16,1.3513243434741589e-15,2.4264748910410385e-15,1.315850214244858e-14,2.12142306020991e-14,3.2056190865076492e-15,5.950966167331692e-15
parallel_error_vs_serial_same_precision,alternating_sign,mixed_fp32_fp64,4.0,50000000,12,0.0,1.4079442304898268e-16,1.252050561140527e-15,3.5621709024420695e-15,1.1139454301094277e-14,3.759386554752923e-14,5.001491370736444e-14,1.0205315201566071e-14,1.493669831092932e-14
