matrix_type,m,n,trial,runtime_seconds,relative_residual,orthogonality_error,status
square,16,16,0,7.825999999999999e-06,6.18457450e-16,2.75205202e-15,PASS
square,16,16,1,4.7439999999999998e-06,7.60420799e-16,3.23587895e-15,PASS
square,16,16,2,3.8020000000000002e-06,8.69923379e-16,3.24855935e-15,PASS
square,32,32,0,2.7684000000000001e-05,7.92193995e-16,4.73547574e-15,PASS
square,32,32,1,1.5909999999999998e-05,8.92148512e-16,5.45390584e-15,PASS
square,32,32,2,1.5063000000000000e-05,7.75536217e-16,5.30662436e-15,PASS
square,64,64,0,1.6402900000000000e-04,1.17826612e-15,9.99144416e-15,PASS
square,64,64,1,1.1587700000000000e-04,1.08781044e-15,1.02818998e-14,PASS
square,64,64,2,1.0937900000000000e-04,1.12794858e-15,1.02810695e-14,PASS
square,128,128,0,2.5128659999999999e-03,1.42325226e-15,1.80581446e-14,PASS
square,128,128,1,2.0611010000000001e-03,1.45261391e-15,1.83239349e-14,PASS
square,128,128,2,2.0338909999999999e-03,1.55685441e-15,1.90850491e-14,PASS
square,256,256,0,2.7097428000000000e-02,2.03220856e-15,3.69554654e-14,PASS
square,256,256,1,2.6113129999999998e-02,2.03093098e-15,3.62361071e-14,PASS
square,256,256,2,2.4639425999999999e-02,1.97002621e-15,3.48691173e-14,PASS
square,384,384,0,8.1359845000000000e-02,2.58810298e-15,5.56816547e-14,PASS
square,384,384,1,8.1161003999999995e-02,2.59566850e-15,5.65952082e-14,PASS
square,384,384,2,7.8957785000000003e-02,2.60466704e-15,5.74361132e-14,PASS
tall_skinny,32,16,0,1.2588999999999999e-05,6.57760381e-16,2.74581888e-15,PASS
tall_skinny,32,16,1,9.5380000000000008e-06,9.14910441e-16,3.46061589e-15,PASS
tall_skinny,32,16,2,1.2508000000000000e-05,7.58001839e-16,2.91005068e-15,PASS
tall_skinny,64,32,0,7.5030999999999994e-05,9.09980309e-16,4.62820958e-15,PASS
tall_skinny,64,32,1,6.8411000000000006e-05,9.44901195e-16,4.76414686e-15,PASS
tall_skinny,64,32,2,7.4538999999999999e-05,1.04743854e-15,5.25458650e-15,PASS
tall_skinny,128,64,0,1.6138319999999999e-03,1.53221963e-15,1.14368314e-14,PASS
tall_skinny,128,64,1,1.5719410000000001e-03,1.33461128e-15,9.89637948e-15,PASS
tall_skinny,128,64,2,1.5853120000000000e-03,1.35524957e-15,9.99184306e-15,PASS
tall_skinny,256,128,0,1.8109638000000001e-02,1.93618172e-15,2.00787386e-14,PASS
tall_skinny,256,128,1,1.7763190000000002e-02,1.89030582e-15,1.92866761e-14,PASS
tall_skinny,256,128,2,1.9737648999999999e-02,1.99126446e-15,2.07804988e-14,PASS
tall_skinny,512,256,0,2.0685253200000001e-01,2.75222188e-15,3.95795962e-14,PASS
tall_skinny,512,256,1,2.0944661400000000e-01,2.80032182e-15,4.11008081e-14,PASS
tall_skinny,512,256,2,1.9967225899999999e-01,2.93679233e-15,4.30294339e-14,PASS
