matrix_type,m,n,runtime_median,runtime_min,runtime_max,residual_median,residual_min,residual_max,orth_median,orth_min,orth_max,n_obs
square,16,16,4.744e-06,3.802e-06,7.826e-06,7.60420799e-16,6.1845745e-16,8.69923379e-16,3.2358789500000002e-15,2.7520520200000002e-15,3.24855935e-15,3
square,32,32,1.591e-05,1.5063e-05,2.7684e-05,7.92193995e-16,7.75536217e-16,8.92148512e-16,5.30662436e-15,4.73547574e-15,5.45390584e-15,3
square,64,64,0.000115877,0.000109379,0.000164029,1.1279485800000002e-15,1.0878104400000001e-15,1.17826612e-15,1.02810695e-14,9.99144416e-15,1.02818998e-14,3
square,128,128,0.002061101,0.002033891,0.002512866,1.45261391e-15,1.4232522600000002e-15,1.55685441e-15,1.83239349e-14,1.80581446e-14,1.90850491e-14,3
square,256,256,0.02611313,0.024639426,0.027097428,2.0309309800000003e-15,1.97002621e-15,2.0322085600000002e-15,3.62361071e-14,3.48691173e-14,3.69554654e-14,3
square,384,384,0.08116100399999998,0.078957785,0.081359845,2.5956685e-15,2.5881029800000002e-15,2.6046670400000003e-15,5.65952082e-14,5.56816547e-14,5.74361132e-14,3
tall_skinny,32,16,1.2508e-05,9.538e-06,1.2589e-05,7.58001839e-16,6.57760381e-16,9.14910441e-16,2.9100506800000003e-15,2.7458188800000003e-15,3.46061589e-15,3
tall_skinny,64,32,7.4539e-05,6.8411e-05,7.503099999999998e-05,9.44901195e-16,9.09980309e-16,1.0474385400000002e-15,4.7641468600000005e-15,4.62820958e-15,5.254586500000001e-15,3
tall_skinny,128,64,0.001585312,0.001571941,0.001613832,1.3552495700000002e-15,1.3346112800000002e-15,1.5322196300000001e-15,9.991843060000001e-15,9.896379480000001e-15,1.14368314e-14,3
tall_skinny,256,128,0.018109638,0.01776319,0.019737649,1.9361817200000003e-15,1.89030582e-15,1.9912644600000003e-15,2.00787386e-14,1.92866761e-14,2.07804988e-14,3
tall_skinny,512,256,0.206852532,0.199672259,0.209446614,2.80032182e-15,2.75222188e-15,2.93679233e-15,4.11008081e-14,3.95795962e-14,4.30294339e-14,3
