precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,2.0,1000000,12,8.559501021191476e-18,1.6606098111181653e-17,3.848872941511454e-17,1.0479605876240988e-18,5.3774750409170224e-17,4.460862634466152e-19,6.327877099730565e-17
fp64,2.0,1919384,12,9.46912669477582e-18,1.7766286367666376e-17,2.6134073380267354e-17,4.744787383660594e-18,4.028662917109482e-17,1.3943786146847732e-19,4.216055178569154e-17
fp64,2.0,3684032,12,4.129631924402473e-18,7.171101025296982e-18,1.1335608945650465e-17,2.004791011216436e-18,2.7650338156874366e-17,1.936876113412005e-18,3.2289807808842256e-17
fp64,2.0,7071068,12,8.142705477315283e-18,1.7252033669632768e-17,3.862464708620846e-17,3.2483641492347907e-18,7.923862091634434e-17,2.7123097408874594e-18,1.1126805273491843e-16
fp64,2.0,13572088,12,8.883555070011116e-18,1.8181175490078723e-17,3.6998318965358526e-17,5.23691543498995e-19,9.161117827541743e-17,2.6313280485731124e-19,1.3856890669603344e-16
fp64,2.0,26050038,12,1.6855042510944293e-17,2.256091486379018e-17,2.854743391131941e-17,6.11857301330821e-18,3.9132385304075517e-17,1.919983073977876e-19,4.5755688302677277e-17
fp64,2.0,50000000,12,4.2094747936234336e-18,1.0359840146214674e-17,3.0240531968522445e-17,1.5256470452726907e-18,5.4149753804427246e-17,1.399973378943321e-18,6.299914571599578e-17
fp64,4.0,1000000,12,8.14119827854105e-18,1.2506141013489748e-17,3.6630655503336136e-17,6.742202568860225e-19,6.135288556340425e-17,6.250911603174549e-19,7.543401514368078e-17
