precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,2.0,1000000,12,9.468163419512675e-17,4.0427453671874187e-16,5.33497036898632e-16,8.277227554357196e-18,5.91723470356948e-16,1.6656864443321168e-18,6.00066459511941e-16
fp64,2.0,1919384,12,8.05418484630889e-17,1.140690323101561e-16,1.9111413620511703e-16,3.216984233036168e-17,8.618630694716625e-16,1.4215316987446417e-17,9.832781298217115e-16
fp64,2.0,3684032,12,1.2186449799998857e-16,1.5691482125252508e-16,3.1586110605146853e-16,8.180042611095241e-17,9.284246996688198e-16,7.19538022897073e-17,1.5209131387192738e-15
fp64,2.0,7071068,12,1.52887681796974e-16,2.6921253008387744e-16,6.383526487361158e-16,4.0824083108931515e-17,1.206357628831851e-15,3.772187176648896e-17,1.3353095251651542e-15
fp64,2.0,13572088,12,1.4447099129639614e-16,2.6716199677548985e-16,4.1646007924351947e-16,5.843328105099256e-17,8.592199658671761e-16,5.731876149238492e-17,1.0130673041670021e-15
fp64,2.0,26050038,12,1.4411353616890068e-16,2.473450498051774e-16,3.7825560299745915e-16,4.225168153445077e-17,5.407166891358492e-16,2.4830741354311537e-17,6.764315611890184e-16
fp64,2.0,50000000,12,1.8027536901215479e-16,3.43518578499252e-16,4.922958527517759e-16,9.573911790406319e-17,8.348681433323563e-16,6.718648789996841e-17,8.643305106572313e-16
fp64,4.0,1000000,12,1.7215746360939302e-16,2.4570821471849896e-16,4.841290696811081e-16,1.0676916305556837e-16,7.758932715851759e-16,1.0033366326239056e-16,8.961585715796123e-16
