precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,2.0,1000000,12,1.0106252663893038e-21,2.234616420688857e-21,2.8597534199689777e-21,4.787125705601252e-23,3.954580539789412e-21,0.0,4.299792718478512e-21
fp64,2.0,1919384,12,1.1226006891920995e-22,4.846361280348381e-22,9.119911551812548e-22,5.795298087720538e-23,1.3781804920123827e-21,4.537655561115555e-23,1.4521648356320646e-21
fp64,2.0,3684032,12,2.511562593683728e-22,5.9187869999989685e-22,1.1714171289276072e-21,9.463541719722336e-23,2.433849700370984e-21,9.463047841843568e-23,3.064831311804535e-21
fp64,2.0,7071068,12,1.0784504364649111e-22,4.0692605718147484e-22,1.2667886172183798e-21,6.2397674732578e-23,2.537327853667635e-21,1.83065918892003e-23,3.056505993768725e-21
fp64,2.0,13572088,12,1.1289543676213986e-22,3.7575305021388743e-22,9.191581519991386e-22,2.5708460209300585e-23,2.0361914483819264e-21,2.5707493319448207e-23,2.1064821036229663e-21
fp64,2.0,26050038,12,1.2541854660004625e-21,5.669880251275892e-21,6.292016934138422e-21,3.981954391621309e-22,1.4838018704300774e-20,2.208515478835552e-22,2.099183030010276e-20
fp64,2.0,50000000,12,2.8990454266952794e-22,4.925933166030277e-22,9.913550659076218e-22,1.1545245732825123e-22,1.793125756652065e-21,1.1164914801662571e-22,2.459140691655577e-21
fp64,4.0,1000000,12,1.8830728405150068e-21,2.5713947536482054e-21,3.605531669408475e-21,6.185620658893724e-22,4.130296603819657e-21,4.147430731123219e-22,4.350232262454794e-21
