precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,2.0,1000000,12,7.555368740578704e-18,2.5350165508034493e-17,3.6188794967537336e-17,2.1166032827683178e-18,9.522820102635094e-17,1.865740599673384e-18,1.1653245919233696e-16
fp64,2.0,1919384,12,1.886547791618491e-17,2.158166968866117e-17,5.318120945671935e-17,8.756595918476639e-18,9.596361282204867e-17,5.206644849520338e-18,1.0150711874645759e-16
fp64,2.0,3684032,12,1.801375368520607e-17,2.359651757402562e-17,4.123650382177455e-17,6.2321116493568994e-18,1.0074280328736079e-16,6.060571250413599e-18,1.4496823059361775e-16
fp64,2.0,7071068,12,1.1500540201783036e-17,1.691717186339724e-17,2.6578032425359006e-17,6.606271664844808e-18,6.729126067526718e-17,6.159120886415631e-18,8.424626719590067e-17
fp64,2.0,13572088,12,6.250529701837858e-18,1.1779478557356012e-17,2.314699862350819e-17,4.604890370875171e-18,8.265001953472396e-17,4.31552530159818e-18,1.2570498230522836e-16
fp64,2.0,26050038,12,1.429793263643409e-17,2.1540331975246767e-17,3.815734797002977e-17,1.0065148753123694e-17,6.739429682972568e-17,8.815253623567936e-18,7.878994644322231e-17
fp64,2.0,50000000,12,4.3992975725298775e-18,2.1231565203417723e-17,5.3204911327447785e-17,1.6506855917866208e-18,9.572809464006882e-17,8.572234863083159e-19,9.792215034703409e-17
fp64,4.0,1000000,12,7.834836486843947e-18,1.7922987845591718e-17,7.783147109254018e-17,2.1901494247524446e-18,1.294427379235868e-16,1.1588828223572057e-18,1.3561022408777102e-16
