precision,threads,n,n_obs,q25,median,q75,q05,q95,min,max
fp64,1.0,1000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,1919384,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,3684032,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,7071068,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,13572088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,26050038,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,1.0,50000000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp64,2.0,1000000,12,5.09290903807592e-15,1.629377571096738e-14,3.171125359345587e-14,3.1449792366203355e-15,5.578921645217379e-14,3.1446737086559214e-15,6.578294796136592e-14
fp64,2.0,1919384,12,2.0943627603909343e-14,2.7965840253034533e-14,3.4710490571699575e-14,1.3657192938659854e-14,5.31487454457082e-14,1.0195002345007649e-14,5.4060866145238116e-14
fp64,2.0,3684032,12,1.112218730338589e-14,3.222413366856493e-14,6.029083769975322e-14,3.5339524833540308e-15,9.5585167765153e-14,2.9092149777348377e-15,1.1800791013697705e-13
fp64,2.0,7071068,12,4.22817986466211e-14,8.027547061857838e-14,1.0057623299991226e-13,7.742102323695757e-15,1.3238280916665617e-13,6.583951996482583e-15,1.3744926311723826e-13
fp64,2.0,13572088,12,2.1173203287909754e-14,5.5718764084500025e-14,1.225114729275015e-13,3.786676139293946e-15,1.6130401137303076e-13,1.3719310721271281e-15,1.9512655534332799e-13
fp64,2.0,26050038,12,3.836119991607335e-14,8.673422687537768e-14,1.6034708555816065e-13,2.146622826778206e-14,2.1917533853129734e-13,1.5015550849768987e-14,2.2089318227999226e-13
fp64,2.0,50000000,12,4.634468668711758e-14,8.843687722537009e-14,1.9057890260606887e-13,2.4601285232661315e-14,3.3836024364593713e-13,1.9518911727077176e-14,3.8843138966490845e-13
fp64,4.0,1000000,12,1.0129393974622744e-14,2.3393941383542404e-14,3.1976954239724037e-14,4.2097577758845675e-15,6.523630750079148e-14,2.0950915572909235e-15,6.543427509231273e-14
