input_distribution,method,precision,threads,n,n_obs,best,median,mean,std,q25,q75,q05,q95,serial_best,serial_median,speedup_best,speedup_median
alternating_sign,openmp,fp64,1.0,1000000,8,0.000721451,0.00085752199999995,0.00096073474999995,0.00025354056734051616,0.000781194999999975,0.001084121499999925,0.000739028699999965,0.0013603733499999349,0.0007886949999999,0.00082587599999995,1.0932066072399926,0.9630959905401822
alternating_sign,openmp,fp64,1.0,1919384,8,0.001567072,0.00162669549999995,0.0016579947499999626,0.00012228938977305138,0.001603350749999925,0.0016412220000000001,0.0015759746000000002,0.001848395399999935,0.001570323,0.001622577,1.0020745696432583,0.9974681801234774
alternating_sign,openmp,fp64,1.0,3684032,8,0.003299867,0.0035078640000000003,0.003673646249999975,0.0004305758399491517,0.003428256749999925,0.003723039249999975,0.0033281837500000002,0.004377502349999965,0.003158531,0.0033570384999999,0.9571691828791887,0.9570036067532549
alternating_sign,openmp,fp64,1.0,7071068,8,0.006209061,0.00743848249999995,0.009731783624999962,0.004054836516222672,0.006676242999999975,0.01361077225,0.006281601649999965,0.015342508149999936,0.006096637,0.0063694445,0.9818935584623827,0.8562827834844059
alternating_sign,openmp,fp64,1.0,13572088,8,0.011165197,0.011553585000000002,0.011991544374999987,0.001306476414900126,0.011492031499999975,0.011775420750000001,0.011231873399999965,0.014007722149999999,0.011087552,0.012160012500000001,0.9930458011623082,1.0524882536459461
alternating_sign,openmp,fp64,1.0,26050038,8,0.023117998,0.02583158899999995,0.02678556837499999,0.003497710181055602,0.02442696975,0.02799655275,0.02349811865,0.0323203477,0.02351263,0.02741531999999995,1.017070336280849,1.0613098559287237
alternating_sign,openmp,fp64,1.0,50000000,8,0.0398013929999999,0.0418556824999999,0.042340207999999935,0.0021640124636274393,0.040866888999999976,0.04362704125,0.0400349637499999,0.04545681679999993,0.0406033609999999,0.04100185549999995,1.0201492445251854,0.9796006910172841
alternating_sign,openmp,fp64,2.0,1000000,8,0.000303596,0.0003308975,0.0003781076249999625,0.00014008732833273665,0.000312858499999975,0.000350414999999925,0.000305264449999965,0.0005990147499999348,0.0007886949999999,0.00082587599999995,2.5978438451096193,2.4958665447757995
alternating_sign,openmp,fp64,2.0,1919384,8,0.0011135819999999,0.0012445490000000002,0.0012571463749999625,0.00011732958925906124,0.001159434749999925,0.001334505249999975,0.001126004549999935,0.001421966149999965,0.001570323,0.001622577,1.4101547977608664,1.303746979829641
alternating_sign,openmp,fp64,2.0,3684032,8,0.001869472,0.0021656415,0.0026003057499999877,0.0012667646410686017,0.002033747999999975,0.0023346975,0.001879459249999965,0.004650976349999999,0.003158531,0.0033570384999999,1.689531054757707,1.550135837348841
alternating_sign,openmp,fp64,2.0,7071068,8,0.003366373,0.0036696990000000002,0.0046881005,0.0026814449806618393,0.003535803,0.00412050625,0.00340414745,0.008901884099999997,0.006096637,0.0063694445,1.8110402501445917,1.7356858151036365
alternating_sign,openmp,fp64,2.0,13572088,8,0.0066885929999999,0.010436932999999999,0.011721763749999963,0.005029004482701224,0.008433345499999976,0.013896878749999925,0.0067815659499999,0.01942806505,0.011087552,0.012160012500000001,1.6576807708288075,1.1650944295608683
alternating_sign,openmp,fp64,2.0,26050038,8,0.012796571,0.01335029749999995,0.014249894624999988,0.0018427633803307503,0.0130144415,0.014906178,0.0128428277,0.0172689702,0.02351263,0.02741531999999995,1.8374164453899409,2.0535362601470157
