input_distribution,n,rows,mixed_rel_error_median,mixed_rel_error_q25,mixed_rel_error_q75,parallel_error_fp64_median,parallel_error_mixed_median
alternating_sign,1000000,168,6.365086378482752e-08,2.4549140856408092e-08,1.6365871851487303e-07,2.055983423282651e-14,1.2818377432847434e-16
alternating_sign,1919384,168,1.8265530167087876e-07,6.591699990789204e-08,2.9953393076255094e-07,4.197051638120559e-14,2.1158844206164507e-16
alternating_sign,3684032,168,9.333614738683276e-08,3.8093858459900534e-08,2.2878661875621152e-07,3.1967225487615464e-14,1.9684641323953246e-16
alternating_sign,7071068,168,3.6026500066978424e-08,2.4451290634834225e-08,8.653625867076516e-08,4.702425703451313e-14,2.038451922018312e-16
alternating_sign,13572088,168,4.555826648543456e-08,1.526224508092749e-08,1.8211372264723366e-07,8.292951497746884e-14,3.822983030614675e-16
alternating_sign,26050038,168,8.470357838337666e-08,3.849257594267884e-08,1.611207928140944e-07,1.0511503504601575e-13,9.051970473066553e-16
alternating_sign,50000000,168,1.0186370303549719e-07,3.8355549371099317e-08,3.141924976185778e-07,1.5355272950954424e-13,2.002047679798819e-15
ill_scaled,1000000,168,4.373112809267481e-08,1.95696580432358e-08,1.1527835615074799e-07,1.953057666668639e-14,1.2146621960942592e-14
ill_scaled,1919384,168,1.5001371516993088e-07,3.4184725865736804e-08,5.234562119187434e-07,2.7494169415863266e-14,2.5187083828785048e-14
ill_scaled,3684032,168,4.8254492750281735e-08,3.0727709428957e-08,7.420675062819795e-08,2.466878941360609e-14,3.0209329205898053e-14
ill_scaled,7071068,168,6.711914255123154e-08,4.530717426123849e-08,1.040551337982056e-07,4.849813052881355e-14,4.772410262229334e-14
ill_scaled,13572088,168,5.968008818207052e-08,3.6093741101611726e-08,1.746285561474873e-07,7.64453322718207e-14,7.650863119341328e-14
ill_scaled,26050038,168,6.767853766883145e-08,3.900274384653801e-08,1.0577269225628222e-07,6.066660382128056e-14,6.25793574119964e-14
ill_scaled,50000000,168,5.643374577584859e-08,2.695333958666583e-08,7.406239338411989e-08,6.368818131464178e-14,7.787597781239088e-14
nearly_canceling,1000000,168,0.6099286108396991,0.3612555547052374,7.158356102899212,4.0709537422262344e-11,0.0
nearly_canceling,1919384,168,0.7801411868181924,0.2454461432241133,3.5660431355092186,1.1827303699191246e-10,0.0
nearly_canceling,3684032,168,0.6358921574246958,0.2581076566054033,1.2519413824073038,2.2061672650553914e-11,0.0
nearly_canceling,7071068,168,0.48714524548522886,0.21782516295886092,0.8840240313398867,1.4631568982479916e-10,0.0
nearly_canceling,13572088,168,0.7201135349228737,0.4735350790935208,1.040044938460481,5.724193875192688e-11,0.0
nearly_canceling,26050038,168,0.5257982047426767,0.2074682951221249,1.0719356225587073,2.231130802859234e-10,0.0
nearly_canceling,50000000,168,0.5353749899537955,0.340758293207759,1.2740311448836619,4.6464558666824834e-11,0.0
normal,1000000,168,4.004500688594914e-08,8.785397221449642e-09,1.631308901409959e-07,2.431624479691828e-14,1.5013715726565465e-16
normal,1919384,168,5.497071374143297e-08,3.707944556745568e-08,1.0596191932681644e-07,2.881264150981489e-14,2.674881717848064e-16
normal,3684032,168,8.134758531404108e-08,1.9256096672860995e-08,1.0327463216944814e-07,4.498952316624774e-14,3.074621506065508e-16
normal,7071068,168,4.506575014999492e-08,1.4238982990359665e-08,1.0276107537886537e-07,7.342462627852976e-14,2.140309813022146e-16
normal,13572088,168,5.790163001572132e-08,1.2691665269111848e-08,9.065753060973826e-08,6.580755981068104e-14,4.056914480614987e-16
normal,26050038,168,7.199871050949454e-08,2.7462244577448568e-08,1.8112672903705708e-07,1.2711989638097103e-13,9.80319863268068e-16
normal,50000000,168,5.2114197082287596e-08,1.8618757810201273e-08,6.901474429081267e-08,7.076254554620124e-14,8.844668860402982e-16
positive_uniform,1000000,168,3.640669243086341e-11,2.0969418067190088e-11,6.757011593343456e-11,1.2283622647104658e-14,6.401693642355607e-16
positive_uniform,1919384,168,2.7044341508791586e-11,1.4496550351274009e-11,4.681474909805568e-11,2.335998643870292e-14,8.488875257398452e-16
positive_uniform,3684032,168,1.726749449465014e-11,1.347044935739263e-11,3.118961262408136e-11,3.3329484636223035e-14,2.336899524327081e-15
positive_uniform,7071068,168,9.2831037772994e-12,3.559650796510084e-12,1.4517132900246131e-11,5.77491001050768e-14,7.374160505126133e-15
positive_uniform,13572088,168,4.211071281071268e-12,1.6085110802166476e-12,1.7178615333430648e-11,6.126988029249192e-14,5.282575532857345e-15
positive_uniform,26050038,168,5.277805013532114e-12,2.9503205785972706e-12,8.998674248138256e-12,5.36394308679976e-14,2.265937760169085e-14
positive_uniform,50000000,168,4.203852695776544e-12,1.4168059082314101e-12,8.474675409727e-12,9.783262649081562e-14,2.6596583358943373e-14
